classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,30,0.3181625051428754,70,5.796761989593506,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search (sorted),0.8345238095238097,0.8398324103078499,0.8333333333333334,0.8297440016966362,-1.2984893001042879,0.9344424629950945
decision_tree,260,0.39283842611940245,342,3.2723965644836426,"['feature_type', 'minmax']",['no_preprocessing'],weighting,Random Search,0.8017857142857143,0.7828054298642533,0.782051282051282,0.7803631511776309,-0.556406987281755,0.9539364235910289
extra_trees,581,0.30020207980247365,2,9.43614387512207,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8166666666666667,0.8281126783281956,0.8333333333333334,0.8270352070086818,-0.5767763018464813,0.9537481189619348
k_nearest_neighbors,178,0.34278676997024304,221,3.398206949234009,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Random Search,0.805952380952381,0.8145217879818955,0.8076923076923077,0.8075854938671742,-0.855572463084872,0.9392837730008784
libsvm_svc,95,0.3745522178470921,304,2.823395252227783,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.7089285714285714,0.7013690013690015,0.7051282051282052,0.7046279456535867,-0.7591708327333132,0.8849904676220465
mlp,419,0.36602177314630335,286,3.0994486808776855,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.7273809523809525,0.7164933599584388,0.717948717948718,0.7093358334956815,-0.6506040578779576,0.9046975478225477
random_forest,509,0.2988810212136912,1,7.831243515014648,"['feature_type', 'standardize']",['no_preprocessing'],none,Local Search,0.8196428571428571,0.8309161176235704,0.8333333333333334,0.8296924261671416,-0.5194842666865159,0.9563126700297753
