classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,902,0.31202661249546143,194,9.313963174819946,"['feature_type', 'minmax']",['no_preprocessing'],none,Random Search,0.849404761904762,0.8617292472931253,0.8589743589743589,0.8572538168300659,-1.320467432339986,0.9426242957821904
decision_tree,633,0.39743614424024126,933,2.7496891021728516,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.8196428571428571,0.8273631504270283,0.8333333333333334,0.8297043245369838,-0.4966085202609881,0.9550779158098237
extra_trees,1423,0.2908866223687853,1,6.5991761684417725,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.8285714285714285,0.8331468648242466,0.8333333333333334,0.8315477528510843,-0.42805495481633654,0.9627337708587709
k_nearest_neighbors,797,0.3319037012006231,462,3.0004544258117676,"['feature_type', 'standardize']",['no_preprocessing'],none,Random Search,0.7851190476190476,0.778259794833766,0.7692307692307693,0.7619534525541198,-0.8893509559237804,0.9330151433605383
libsvm_svc,1302,0.3595713894647497,724,2.921842336654663,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.7952380952380953,0.7958570206002812,0.782051282051282,0.7814807500301723,-0.6624288173058094,0.9131453701026069
mlp,252,0.3596980611951706,727,11.230337381362915,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search,0.7613095238095239,0.7620689655172413,0.7564102564102565,0.7548187444739168,-0.5947985716962788,0.9079942310369941
random_forest,266,0.3003375825757015,59,6.766589403152466,"['feature_type', 'none']",['no_preprocessing'],none,Local Search,0.8375000000000001,0.8342256503327283,0.8205128205128205,0.8185668636666822,-0.47364014762644774,0.9565424712957608
