classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,28,0.3275860221444551,362,4.165986776351929,"['feature_type', 'minmax']",['no_preprocessing'],weighting,Random Search (sorted),0.8434523809523811,0.8465741155396328,0.8333333333333334,0.8355598424563943,-0.5579345868829741,0.9595201478589638
decision_tree,322,0.38254220895811014,910,3.1927218437194824,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.8107142857142857,0.8033589504177738,0.8076923076923077,0.805606046933347,-0.5265488376220068,0.9668865573388599
extra_trees,835,0.2929230109999594,1,7.070132493972778,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8285714285714285,0.8401197511905316,0.8461538461538461,0.841212339606867,-0.5204263549680129,0.9608199920206499
k_nearest_neighbors,1407,0.33624457147855397,515,2.488323926925659,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.7613095238095239,0.767221634954193,0.7564102564102565,0.7581539907121302,-4.227481474287999,0.886993425069083
libsvm_svc,557,0.3450543855176629,613,4.20725417137146,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search,0.680952380952381,0.6662398921832884,0.6666666666666666,0.6636118598382749,-0.8253464794311768,0.8596078069104385
mlp,312,0.3631885036082987,776,5.616811752319336,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.7226190476190476,0.7223932676518884,0.717948717948718,0.7152740937223696,-0.6452278572234298,0.9006407712657712
random_forest,509,0.3181710091100228,137,8.211647033691406,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8464285714285715,0.8447793944241082,0.8461538461538461,0.8427930411381147,-0.4803594889310308,0.9659286236424395
