classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,882,0.30212466167916774,178,3.5509684085845947,"['feature_type', 'none']",['no_preprocessing'],weighting,Random Search,0.8851190476190476,0.8795523290986087,0.8717948717948718,0.8690198085842369,-1.2332887481420467,0.9720296936250884
decision_tree,303,0.38502354508647624,848,2.742204427719116,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.8642857142857143,0.8480313550878067,0.8461538461538461,0.8418211946437751,-0.5397868012436308,0.9492459480699613
extra_trees,1397,0.28764087927406895,1,10.145543575286865,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8404761904761906,0.8546857619577309,0.8589743589743589,0.8554241179658311,-0.625074915205821,0.9625714125056231
k_nearest_neighbors,632,0.3301657301711783,506,2.02168607711792,"['feature_type', 'minmax']",['no_preprocessing'],none,Random Search,0.8053571428571429,0.8111749680715198,0.8076923076923077,0.8052215345318794,-0.8646133068369892,0.9457222918407129
libsvm_svc,963,0.3673702126402968,751,1.814877986907959,"['feature_type', 'standardize']",['no_preprocessing'],none,Random Search,0.7982142857142858,0.7853089080459771,0.7948717948717948,0.7886273209549072,-0.6499816183096323,0.9358025673157252
mlp,337,0.3628867996749429,735,4.442691326141357,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Random Search,0.7642857142857143,0.7652945924132365,0.7692307692307693,0.766405910473707,-0.849242433242738,0.9003005577512155
random_forest,50,0.29229398220658576,76,7.068277359008789,"['feature_type', 'none']",['no_preprocessing'],weighting,Local Search,0.8553571428571429,0.857486388384755,0.8589743589743589,0.8556749965098421,-0.47164416621224237,0.9674670048518732
