classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,790,0.3136578789847472,111,4.709977149963379,"['feature_type', 'none']",['no_preprocessing'],weighting,Random Search,0.8226190476190476,0.8265122007102761,0.8205128205128205,0.822229761684453,-1.2910676033068926,0.9481731907225329
decision_tree,1067,0.38138978123435496,686,1.6173925399780273,"['feature_type', 'robust_scaler']",['no_preprocessing'],weighting,Random Search,0.786904761904762,0.7789227657590976,0.7692307692307693,0.7681784409881529,-0.5868056358482975,0.9514509229805282
extra_trees,1098,0.29787870564262203,1,5.7422966957092285,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8285714285714285,0.8401197511905316,0.8461538461538461,0.841212339606867,-0.499278855504086,0.964424268470321
k_nearest_neighbors,1005,0.3140072269391724,117,2.5853042602539062,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search (sorted),0.7999999999999999,0.8047338881403622,0.8076923076923077,0.8036608894066274,-0.849613203189503,0.9508430732279418
libsvm_svc,1273,0.34194844390484236,460,1.735414743423462,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.7988095238095239,0.7882853247984827,0.7948717948717948,0.7913765486133908,-0.7228017457020588,0.904180663999743
mlp,393,0.3462032932843206,497,29.798489809036255,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Random Search,0.7369047619047618,0.7341861598440546,0.7307692307692306,0.729952016794122,-0.6430324412692406,0.9204059159651266
random_forest,304,0.3035163374603429,19,9.966899633407593,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Local Search,0.8642857142857143,0.8669732479794663,0.8717948717948718,0.8675099415630788,-0.4873096277483572,0.9631912245892508
