σθ,σc,σt,SCF,B1,B2,Wet,MR
99.4,129.5,11.3,0.77,11.46,0.84,4.6,1
33.6,156.3,10.2,0.21,15.38,0.88,5.2,1
109.5,155.8,11.77,0.7,13.24,0.86,5.2,2
26.9,92.6,9.52,0.29,9.73,0.81,3.7,1
38.3,90.1,10.2,0.23,8.83,0.8,3.7,2
83.9,95.6,8.69,0.48,11.0,0.83,3.7,1
55.9,126.8,6.56,0.44,19.33,0.9,8.1,3
109.9,128.5,9.63,0.86,13.34,0.86,8.1,3
59.9,96.5,8.0,0.62,12.06,0.85,1.8,1
68.0,106.8,6.1,0.64,17.51,0.89,7.2,3
50.6,63.83,5.06,0.79,12.61,0.85,2.23,1
50.6,85.36,4.91,0.59,17.38,0.89,3.41,1
50.6,104.97,6.18,0.48,16.99,0.89,10.9,3
50.6,153.1,10.48,0.33,14.61,0.87,3.14,1
120.8,151.6,10.1,0.8,15.01,0.88,20.0,3
119.32,138.6,7.74,0.86,17.91,0.89,30.0,3
95.67,127.3,10.55,0.75,12.15,0.85,30.0,3
114.74,174.7,14.41,0.66,12.12,0.85,10.0,3
127.62,145.42,13.7,0.88,10.61,0.83,10.0,3
126.41,158.02,14.32,0.84,11.03,0.83,10.0,3
108.53,113.33,10.43,0.96,10.87,0.83,10.0,3
29.04,124.15,5.0,0.23,24.83,0.92,4.39,0
40.87,139.0,6.0,0.29,23.17,0.92,0.81,0
50.09,124.0,5.0,0.4,0.0,24.8,0.9,1
59.09,88.25,3.6,0.6,7.0,24.5,0.9,2
62.13,124.0,5.0,0.5,0.0,24.8,0.9,1
40.9,88.25,3.6,0.4,6.0,24.5,0.9,1
22.93,88.25,3.6,0.2,6.0,24.5,0.9,0
47.5,86.3,15.6,0.0,0.5,5.0,5.53,0.6
47.5,61.1,5.3,0.7,8.0,11.5,0.8,2
47.5,99.2,7.3,0.4,8.0,13.5,0.6,2
47.5,91.3,14.5,0.0,0.5,2.0,6.3,0.7
67.2,86.3,15.6,0.0,0.7,8.0,5.53,0.6
67.2,61.1,5.3,1.1,0.0,11.5,0.8,2
67.2,99.2,7.3,0.6,8.0,13.5,0.8,2
67.2,91.3,14.5,0.0,0.7,4.0,6.3,0.7
77.0,86.3,15.6,0.0,0.8,9.0,5.53,0.6
77.0,61.1,5.3,1.2,6.0,11.5,0.8,3
77.0,99.2,7.3,0.7,8.0,13.5,0.8,3
77.0,91.3,14.5,0.0,0.8,4.0,6.3,0.7
225.5,0.0,86.3,15.6,0.0,2.6,1.0,5.53
225.5,0.0,61.1,5.3,3.6,9.0,11.5,0.8
225.5,0.0,99.2,7.3,2.2,7.0,13.5,0.8
225.5,0.0,91.3,14.5,0.0,2.4,7.0,6.30
274.3,0.0,86.3,15.6,0.0,3.1,8.0,5.53
274.3,0.0,61.1,5.3,4.4,9.0,11.5,0.8
274.3,0.0,99.2,7.3,2.7,7.0,13.5,0.8
274.3,0.0,91.3,14.5,0.0,3.0,0.0,6.30
297.8,0.0,86.3,15.6,0.0,3.4,5.0,5.53
297.8,0.0,61.1,5.3,4.8,7.0,11.5,0.8
297.8,0.0,99.2,7.3,3.0,0.0,13.5,0.8
297.8,0.0,91.3,14.5,0.0,3.2,6.0,6.30
77.69,74.04,8.96,1.0,5.0,8.26,0.7,0
77.07,78.3,6.8,0.9,8.0,11.5,0.8,1
67.18,132.2,16.4,0.5,1.0,8.06,0.7,2
75.03,128.6,13.0,0.5,8.0,9.89,0.8,2
80.54,237.2,17.6,0.3,4.0,13.4,0.8,2
80.04,171.3,22.6,0.4,7.0,7.58,0.7,3
72.56,304.2,20.9,0.2,4.0,14.5,0.8,3
47.56,58.5,3.5,0.8,1.0,16.7,0.8,1
