classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,300,0.32077375260819474,259,3.830455780029297,"['feature_type', 'robust_scaler']",['no_preprocessing'],weighting,Local Search,0.8208333333333333,0.8262441581407098,0.8205128205128205,0.8186991316964792,-1.2375846749696977,0.939071275946276
decision_tree,866,0.4218203666835874,1358,2.593593120574951,"['feature_type', 'none']",['no_preprocessing'],weighting,Random Search,0.6440476190476191,0.6446969696969697,0.6410256410256411,0.6419191919191919,-0.8379222558668027,0.8754978157198553
extra_trees,613,0.30207248532395936,1,6.896915435791016,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.7916666666666666,0.7746040723981901,0.7692307692307693,0.7709469389333643,-1.1670713134301014,0.9230003895957842
k_nearest_neighbors,240,0.333399387041524,469,2.5251171588897705,"['feature_type', 'normalize']",['no_preprocessing'],none,Local Search,0.7392857142857143,0.744971264367816,0.7435897435897437,0.737842617152962,-1.0918607888982081,0.8947070400359874
libsvm_svc,2017,0.3428391955259538,608,2.141263723373413,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.7214285714285714,0.6976758283042301,0.6923076923076923,0.6958790396793925,-0.8525773974565359,0.8685363314804104
mlp,1327,0.35816653720700564,851,27.623918056488037,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.7535714285714286,0.7590538847117794,0.7564102564102565,0.7572312190733244,-0.884171940746362,0.8901506838677892
random_forest,378,0.3067815804943789,64,6.416494369506836,"['feature_type', 'standardize']",['no_preprocessing'],none,Local Search,0.8160714285714286,0.8133923169993952,0.8076923076923077,0.806387376487195,-0.5863116801334306,0.9227286766595976
