classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,179,0.3162717430553427,535,-2.058903217315674,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.8833333333333333,0.8910337801925234,0.8974358974358975,0.8964035482224816,-0.5592725618262323,0.9632536268556005
decision_tree,2313,0.37583521105911966,1159,2.2186965942382812,"['feature_type', 'minmax']",['no_preprocessing'],none,Random Search,0.7821428571428571,0.8016536365790097,0.8076923076923077,0.8022849124341663,-0.6321905302600219,0.936570101134246
extra_trees,826,0.29451921809355136,1,17.2284574508667,"['feature_type', 'minmax']",['no_preprocessing'],none,Local Search,0.8285714285714285,0.8365814734587055,0.8461538461538461,0.8412453305414295,-0.5373043522047691,0.9684267961570594
k_nearest_neighbors,1378,0.33670194785080765,745,2.0506784915924072,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.8029761904761905,0.8081908831908832,0.8076923076923077,0.8053546643290234,-0.8478942363976668,0.9473949296317716
libsvm_svc,1824,0.3380203898343141,757,3.3264691829681396,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.7226190476190476,0.7106430606430607,0.7051282051282052,0.7038184986902937,-0.7548370212316513,0.8921178748152432
mlp,221,0.36639915615725854,1070,5.037905693054199,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.7089285714285714,0.7150595976298746,0.717948717948718,0.7164280818166722,-0.7441786685600303,0.8830780677655679
random_forest,984,0.32031304317922027,575,8.154098272323608,"['feature_type', 'standardize']",['no_preprocessing'],none,Local Search,0.8583333333333334,0.8725084151581429,0.8717948717948718,0.8691890862070955,-0.48762543708420336,0.9617908285671444
