classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,1285,0.2955313770844688,304,4.490099668502808,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.8285714285714285,0.836749680715198,0.8333333333333334,0.8314978550610734,-1.3047522184176323,0.9525819958550221
decision_tree,1385,0.3938438878468154,1196,2.571899175643921,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search,0.7958333333333334,0.791316752799311,0.782051282051282,0.7815557432805494,-0.5838784382511408,0.9509796258809416
extra_trees,783,0.28068223559265987,6,5.681774854660034,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.7672619047619048,0.7674859190988224,0.7692307692307693,0.7617176730079956,-0.481304383257595,0.9588503443437654
k_nearest_neighbors,2056,0.29796781039729286,342,-0.014660120010375977,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.8386904761904762,0.8429167457855983,0.8333333333333334,0.8313168149233723,-0.487604252444819,0.9470798591028853
libsvm_svc,1826,0.33824864191956155,787,2.4206295013427734,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.6928571428571428,0.6850649350649349,0.6794871794871795,0.677156177156177,-0.826801577821756,0.879151591585802
mlp,2047,0.34522929312034667,858,17.079879760742188,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.7910714285714285,0.7792397873507798,0.782051282051282,0.7708594450085987,-0.5892987445829652,0.919503432727117
random_forest,289,0.2803487741702682,1,3.3567557334899902,"['feature_type', 'standardize']",['no_preprocessing'],none,Local Search,0.8166666666666667,0.8248644348135586,0.8205128205128205,0.817423313937352,-0.44004877955348304,0.9612671033888139
