classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,121,0.31518337543575825,104,4.701006650924683,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.8583333333333334,0.8635040076813894,0.8589743589743589,0.8578298041331356,-1.2751875962966528,0.9436631977914873
decision_tree,173,0.40089370776207234,253,1.5459926128387451,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.7928571428571429,0.7781609526000921,0.7692307692307693,0.7666479344401572,-0.6198015215758903,0.9473314931291904
extra_trees,413,0.28478261181065845,1,36844.66405701637,"['feature_type', 'robust_scaler']",['no_preprocessing'],weighting,Local Search,0.8464285714285715,0.851818870784388,0.8461538461538461,0.8439275431317872,-0.4734482004796752,0.9525394951052846
k_nearest_neighbors,291,0.33146369098838646,157,2.8535635471343994,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.7672619047619048,0.7782485875706215,0.7692307692307693,0.7696219035202088,-0.9022502572490618,0.9419883911166806
libsvm_svc,193,0.3639097210125615,213,4.659967660903931,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.7136904761904761,0.7202699634983998,0.7307692307692306,0.7251327660992943,-0.7777983901592401,0.8776758469357153
mlp,29,0.38886559383358343,238,2.6107280254364014,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search (sorted),0.7511904761904762,0.7513565919171419,0.7564102564102565,0.7504631914996801,-0.7007879577099513,0.8842837462245356
random_forest,130,0.2935607618109201,6,8.725442171096802,"['feature_type', 'minmax']",['no_preprocessing'],weighting,Local Search,0.8404761904761906,0.8483488263676715,0.8461538461538461,0.8453075101067764,-0.48991293712065387,0.9549838739476899
