classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,1386,0.3336631034732818,527,6.2171454429626465,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Random Search,0.8553571428571429,0.848283230179782,0.8333333333333334,0.8337663515382349,-0.5217562592235021,0.9668517246642248
decision_tree,1375,0.4437691214660565,981,2.959132194519043,"['feature_type', 'none']",['no_preprocessing'],weighting,Random Search,0.7642857142857142,0.75,0.7564102564102565,0.7475524475524475,-0.7181553874546901,0.9278797153139258
extra_trees,1324,0.26731250403393314,1,6.255640983581543,"['feature_type', 'minmax']",['no_preprocessing'],none,Local Search,0.8148809523809524,0.8262823961976504,0.8205128205128205,0.8213434922474471,-0.5026738735823295,0.9590748505880083
k_nearest_neighbors,1085,0.3298711440271748,507,2.483372926712036,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Random Search,0.756547619047619,0.7681926700219383,0.7564102564102565,0.7570293602813927,-5.0887690753890915,0.866425070421781
libsvm_svc,1500,0.3624356065901572,672,2.648301124572754,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Local Search,0.7017857142857142,0.6989742975734354,0.7051282051282052,0.7020469021187412,-0.8022978042180722,0.8742162832294411
mlp,92,0.34726156994322965,595,9.105535984039307,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search,0.7535714285714286,0.7632386080661941,0.7564102564102565,0.75354045468988,-0.6013494380768418,0.9213321966775914
random_forest,220,0.2989701571184248,283,8.020872592926025,"['feature_type', 'robust_scaler']",['no_preprocessing'],weighting,Local Search,0.8404761904761904,0.8360426929392446,0.8205128205128205,0.819893899204244,-0.5885179360898641,0.9533272952680847
