classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,54,0.3114523143624468,86,3.0706639289855957,"['feature_type', 'standardize']",['no_preprocessing'],none,Random Search (sorted),0.8047619047619048,0.8015144524080511,0.7948717948717948,0.7901157154902273,-0.7436879199233029,0.9408319744339482
decision_tree,730,0.43219964548736517,619,2.8731086254119873,"['feature_type', 'robust_scaler']",['no_preprocessing'],weighting,Random Search,0.7571428571428571,0.7439666697399964,0.7307692307692306,0.729154255143099,-0.7119624322901169,0.9358363958775143
extra_trees,401,0.30353652270104436,7,9.196512222290039,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Local Search,0.8196428571428571,0.8123718386876282,0.8076923076923077,0.8050954893060156,-0.5457976104076713,0.9532673497311657
k_nearest_neighbors,294,0.33755885492867505,299,1.772707462310791,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Random Search,0.805952380952381,0.8273351648351648,0.8333333333333334,0.8295576218653141,-0.5379466702325795,0.9580710456697299
libsvm_svc,523,0.36243372201135704,457,0.6926641464233398,"['feature_type', 'minmax']",['no_preprocessing'],none,Random Search,0.731547619047619,0.7336552042590179,0.7307692307692306,0.7293453097315549,-0.7346491540471712,0.8836709428485745
mlp,1002,0.3412638745494767,332,8.34503173828125,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Local Search,0.6958333333333333,0.6991436100131752,0.7051282051282052,0.7005118070335461,-0.7239032791067774,0.8873810862626653
random_forest,2,0.3029997448186855,1,9.12826681137085,"['feature_type', 'standardize']",['no_preprocessing'],none,Default,0.8583333333333334,0.8602657229775874,0.8589743589743589,0.8568181058402701,-0.4874561465321443,0.9590482081271556
