classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,898,0.29612438083020154,210,5.4257848262786865,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8851190476190476,0.8842279573861598,0.8846153846153846,0.8823353585450235,-0.4598772301405968,0.9727706485765697
decision_tree,919,0.39626524452923906,770,4.348700284957886,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Random Search,0.7613095238095239,0.7701533494753834,0.7692307692307693,0.7680834419817472,-0.6406860179626025,0.939290406839749
extra_trees,1110,0.27132914888309584,1,6.5823938846588135,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Local Search,0.868452380952381,0.8680022568723613,0.8717948717948718,0.8702124733965544,-0.45420678350358057,0.9640601436818542
k_nearest_neighbors,1388,0.3295372776539667,425,4.63431978225708,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.8595238095238095,0.8628446115288221,0.8589743589743589,0.8569950517318938,-0.8547485803301709,0.9492169928025191
libsvm_svc,1399,0.351011866180327,540,6.857440948486328,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Local Search,0.7535714285714286,0.7503885544139781,0.7435897435897437,0.7404227891516028,-0.6857076768691723,0.9217567355889724
mlp,1151,0.33296119910796196,451,1125.676462173462,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Random Search,0.7732142857142857,0.7621919100797379,0.7692307692307693,0.758236801615655,-0.7383225261328378,0.9117031628215838
random_forest,143,0.312860437376786,300,8.202393531799316,"['feature_type', 'quantile_transformer']",['no_preprocessing'],weighting,Local Search,0.8613095238095239,0.8475869542627258,0.8461538461538461,0.8459288881479105,-0.5384037478420979,0.9653331512542039
