classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,314,0.30677869911356886,177,2.3469746112823486,"['feature_type', 'standardize']",['no_preprocessing'],none,Random Search,0.8791666666666667,0.8708795269770879,0.8589743589743589,0.8573729793241989,-0.4891022127102872,0.96495851675128
decision_tree,839,0.40845868741609725,909,1.9583134651184082,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Random Search,0.786904761904762,0.7989741648146821,0.7948717948717948,0.7900462950197699,-0.525098341732071,0.9366744485412247
extra_trees,1474,0.2972191497876936,103,5.324754476547241,"['feature_type', 'quantile_transformer']",['no_preprocessing'],none,Local Search,0.8404761904761906,0.8546857619577309,0.8589743589743589,0.8554241179658311,-0.5935835281434731,0.9633853798491956
k_nearest_neighbors,26,0.3272183423780656,422,2.2977731227874756,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Random Search,0.842857142857143,0.8433165704352145,0.8333333333333334,0.8315040601872414,-0.8543739889581234,0.9408907016472807
libsvm_svc,298,0.3601431488676454,678,2.482577085494995,"['feature_type', 'standardize']",['no_preprocessing'],none,Random Search,0.7607142857142857,0.7807086658424187,0.7692307692307693,0.7708281673741941,-0.6338255944160315,0.9287602285628602
mlp,809,0.342016226441519,536,5.6875739097595215,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.8029761904761905,0.8017695099818511,0.8076923076923077,0.8073890517629175,-0.5606047949354084,0.9235300792044214
random_forest,119,0.2941091119416133,1,6.828973293304443,"['feature_type', 'minmax']",['no_preprocessing'],weighting,Local Search,0.8523809523809525,0.8546378692374244,0.8589743589743589,0.8528968559558103,-0.5082536141077677,0.963613895850738
