classifier_type,model_id,cv_cost,cv_rank,cv_duration,data_preprocessor,feature_preprocessor,balancing_strategy,config_origin,balanced_accuracy,f1_macro,f1_micro,f1_weighted,log_loss,roc_auc
adaboost,824,0.2990748524795325,17,6.549052476882935,"['feature_type', 'minmax']",['no_preprocessing'],none,Local Search,0.7791666666666667,0.7823109261988719,0.782051282051282,0.7813636815204009,-1.2786133625568488,0.9170829049118522
decision_tree,894,0.43257950492831376,762,2.7914507389068604,"['feature_type', 'standardize']",['no_preprocessing'],weighting,Random Search,0.7226190476190476,0.7141173562491367,0.7051282051282052,0.70598961697568,-0.8377802414724078,0.8741849314793395
extra_trees,825,0.29694007637497,11,5.275473594665527,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Local Search,0.8226190476190476,0.8196662472577106,0.8205128205128205,0.8192084752044101,-0.6645892214698669,0.9277269562795879
k_nearest_neighbors,1153,0.32208143224499997,222,2.0880064964294434,"['feature_type', 'robust_scaler']",['no_preprocessing'],none,Random Search (sorted),0.8160714285714286,0.8247150997150997,0.8076923076923077,0.8089999269486449,-0.5360347105496868,0.9365513208769789
libsvm_svc,1113,0.3456982105908718,382,2.5187180042266846,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Local Search,0.6779761904761905,0.6581450032410073,0.6538461538461539,0.6563054592075389,-0.861638218164444,0.8635347115116853
mlp,787,0.36914001903393445,535,5.43065071105957,"['feature_type', 'power_transformer']",['no_preprocessing'],weighting,Random Search,0.6892857142857143,0.6843920145190563,0.6923076923076923,0.6888795818015419,-0.8644293771679096,0.8769053242079559
random_forest,633,0.2931325107473946,1,10.832200527191162,"['feature_type', 'power_transformer']",['no_preprocessing'],none,Local Search,0.7595238095238095,0.7628134442263964,0.7692307692307693,0.767746763821897,-0.6088160533362474,0.9304836142171669
